WarehouseID,WarehouseCity,ProductID,StockQuantity,ReservedQuantity,AvailableQuantity,ReorderLevel,RestockQuantity,LastRestockDate,InventoryStatus
W002,Chicago,P00001,51,15,37,50,250,2026-06-11,In Stock
W002,Chicago,P00002,1116,37,1089,20,100,2026-06-24,In Stock
W001,New York,P00003,191,14,159,30,150,2026-04-12,In Stock
W001,New York,P00004,1149,34,1123,30,150,2026-05-31,In Stock
W008,Sydney,P00005,569,10,542,20,100,2026-05-16,In Stock
W005,London,P00006,318,21,312,30,150,2026-06-17,In Stock
W007,Milan,P00007,198,22,160,50,250,2026-05-26,In Stock
W001,New York,P00008,940,7,916,100,500,2026-06-18,In Stock
W005,London,P00009,740,12,736,100,500,2026-06-23,In Stock
W004,Los Angeles,P00010,592,14,586,20,100,2026-05-11,In Stock
W005,London,P00011,928,10,905,50,250,2026-05-14,In Stock
W004,Los Angeles,P00012,546,38,506,20,100,2026-06-07,In Stock
W004,Los Angeles,P00013,334,24,317,75,375,2026-03-02,In Stock
W004,Los Angeles,P00014,664,14,662,20,100,2026-03-17,In Stock
W006,Berlin,P00015,821,4,808,50,250,2026-03-04,In Stock
W006,Berlin,P00016,435,25,406,75,375,2026-06-10,In Stock
W005,London,P00017,285,35,251,30,150,2026-05-26,In Stock
W007,Milan,P00018,1195,23,1181,75,375,2026-06-11,In Stock
W008,Sydney,P00019,186,7,177,20,100,2026-04-09,In Stock
W003,Dallas,P00020,864,4,840,100,500,2026-05-11,In Stock
W008,Sydney,P00021,1083,35,1083,50,250,2026-04-02,In Stock
W002,Chicago,P00022,1099,21,1092,50,250,2026-05-22,In Stock
W007,Milan,P00023,323,0,307,75,375,2026-04-25,In Stock
W003,Dallas,P00024,1039,40,1020,20,100,2026-03-13,In Stock
W004,Los Angeles,P00025,313,10,279,50,250,2026-03-21,In Stock
W001,New York,P00026,663,1,656,75,375,2026-03-02,In Stock
W006,Berlin,P00027,629,3,614,30,150,2026-03-08,In Stock
W002,Chicago,P00028,175,4,141,75,375,2026-03-22,In Stock
W003,Dallas,P00029,262,35,252,75,375,2026-05-26,In Stock
W007,Milan,P00030,433,12,414,100,500,2026-05-08,In Stock
W006,Berlin,P00031,897,28,890,100,500,2026-05-28,In Stock
W004,Los Angeles,P00032,131,1,94,50,250,2026-04-19,In Stock
W004,Los Angeles,P00033,451,4,411,20,100,2026-06-21,In Stock
W004,Los Angeles,P00034,138,21,134,20,100,2026-04-24,In Stock
W004,Los Angeles,P00035,570,13,536,75,375,2026-06-12,In Stock
W008,Sydney,P00036,497,26,485,75,375,2026-06-16,In Stock
W002,Chicago,P00037,882,27,856,50,250,2026-04-30,In Stock
W001,New York,P00038,201,25,180,20,100,2026-03-18,In Stock
W002,Chicago,P00039,509,12,475,30,150,2026-05-02,In Stock
W003,Dallas,P00040,864,17,835,30,150,2026-05-28,In Stock
W002,Chicago,P00041,907,6,904,100,500,2026-04-06,In Stock
W001,New York,P00042,191,10,165,30,150,2026-04-27,In Stock
W008,Sydney,P00043,437,3,427,75,375,2026-05-11,In Stock
W001,New York,P00044,799,29,781,50,250,2026-05-05,In Stock
W008,Sydney,P00045,317,18,304,30,150,2026-06-21,In Stock
W001,New York,P00046,642,3,605,20,100,2026-04-28,In Stock
W003,Dallas,P00047,116,5,105,100,500,2026-06-20,In Stock
W002,Chicago,P00048,481,7,445,75,375,2026-05-28,In Stock
W001,New York,P00049,167,37,131,75,375,2026-04-23,In Stock
W006,Berlin,P00050,534,20,519,30,150,2026-05-26,In Stock
W007,Milan,P00051,268,29,248,50,250,2026-03-02,In Stock
W002,Chicago,P00052,19,19,0,75,375,2026-06-16,Low Stock
W002,Chicago,P00053,1101,32,1085,30,150,2026-06-12,In Stock
W006,Berlin,P00054,140,23,122,30,150,2026-06-08,In Stock
W008,Sydney,P00055,1112,39,1079,50,250,2026-06-27,In Stock
W005,London,P00056,212,16,205,30,150,2026-03-07,In Stock
W002,Chicago,P00057,1133,17,1115,30,150,2026-04-12,In Stock
W004,Los Angeles,P00058,702,40,686,30,150,2026-04-25,In Stock
W008,Sydney,P00059,514,5,474,20,100,2026-05-05,In Stock
W005,London,P00060,90,21,82,20,100,2026-04-08,In Stock
W005,London,P00061,330,35,303,75,375,2026-04-18,In Stock
W001,New York,P00062,229,9,195,20,100,2026-06-24,In Stock
W006,Berlin,P00063,1192,9,1165,100,500,2026-06-12,In Stock
W001,New York,P00064,631,2,609,50,250,2026-06-02,In Stock
W004,Los Angeles,P00065,210,35,184,50,250,2026-04-10,In Stock
W003,Dallas,P00066,484,11,458,30,150,2026-06-25,In Stock
W003,Dallas,P00067,680,15,663,75,375,2026-06-08,In Stock
W002,Chicago,P00068,783,30,769,20,100,2026-06-03,In Stock
W008,Sydney,P00069,716,14,702,50,250,2026-06-25,In Stock
W004,Los Angeles,P00070,816,17,812,50,250,2026-03-22,In Stock
W005,London,P00071,719,25,685,100,500,2026-05-17,In Stock
W001,New York,P00072,236,11,199,50,250,2026-05-26,In Stock
W001,New York,P00073,222,27,200,100,500,2026-03-27,In Stock
W006,Berlin,P00074,893,32,886,100,500,2026-05-10,In Stock
W004,Los Angeles,P00075,521,27,521,20,100,2026-04-23,In Stock
W004,Los Angeles,P00076,745,4,724,75,375,2026-04-10,In Stock
W006,Berlin,P00077,255,32,236,50,250,2026-04-04,In Stock
W007,Milan,P00078,668,18,633,75,375,2026-06-12,In Stock
W004,Los Angeles,P00079,861,11,822,75,375,2026-04-17,In Stock
W005,London,P00080,831,0,812,100,500,2026-05-23,In Stock
W004,Los Angeles,P00081,880,38,860,100,500,2026-04-30,In Stock
W008,Sydney,P00082,905,32,875,30,150,2026-03-19,In Stock
W003,Dallas,P00083,173,32,133,50,250,2026-04-10,In Stock
W006,Berlin,P00084,191,19,177,30,150,2026-03-17,In Stock
W004,Los Angeles,P00085,301,2,286,20,100,2026-04-29,In Stock
W002,Chicago,P00086,932,40,896,75,375,2026-06-04,In Stock
W007,Milan,P00087,1012,15,1003,75,375,2026-04-06,In Stock
W001,New York,P00088,218,14,207,75,375,2026-03-18,In Stock
W008,Sydney,P00089,102,15,95,100,500,2026-05-01,In Stock
W003,Dallas,P00090,951,35,913,100,500,2026-05-19,In Stock
W008,Sydney,P00091,1033,35,1005,75,375,2026-03-06,In Stock
W003,Dallas,P00092,972,16,957,75,375,2026-03-13,In Stock
W005,London,P00093,1067,40,1052,75,375,2026-05-24,In Stock
W008,Sydney,P00094,158,15,141,50,250,2026-05-17,In Stock
W006,Berlin,P00095,1106,8,1097,20,100,2026-05-30,In Stock
W007,Milan,P00096,312,4,286,30,150,2026-05-07,In Stock
W006,Berlin,P00097,1111,26,1108,75,375,2026-06-02,In Stock
W007,Milan,P00098,797,1,761,100,500,2026-05-11,In Stock
