ProductID,SKU,ProductName,Category,SubCategory,Brand,SupplierID,UnitPrice,Cost,Status
P00001,SKU-00001,Loreal Smartphone 1,Electronics,Smartphones,Loreal,S0189,1801.03,732.58,Active
P00002,SKU-00002,LG Accessorie 2,Electronics,Accessories,LG,S0444,1798.73,356.66,Active
P00003,SKU-00003,LG Smartphone 3,Electronics,Smartphones,LG,S0372,154.66,1262.0,Active
P00004,SKU-00004,Philips Accessorie 4,Electronics,Accessories,Philips,S0395,767.63,1314.73,Active
P00005,SKU-00005,Loreal Accessorie 5,Electronics,Accessories,Loreal,S0218,89.84,1277.46,Active
P00006,SKU-00006,Apple Accessorie 6,Electronics,Accessories,Apple,S0277,248.89,457.47,Active
P00007,SKU-00007,Loreal Accessorie 7,Electronics,Accessories,Loreal,S0283,572.19,620.1,Active
P00008,SKU-00008,LG Laptop 8,Electronics,Laptops,LG,S0155,270.58,669.05,Active
P00009,SKU-00009,Apple Laptop 9,Electronics,Laptops,Apple,S0218,1474.91,851.03,Active
P00010,SKU-00010,Apple Accessorie 10,Electronics,Accessories,Apple,S0461,190.05,139.6,Active
P00011,SKU-00011,HP Laptop 11,Electronics,Laptops,HP,S0326,1501.23,724.72,Active
P00012,SKU-00012,HP Laptop 12,Electronics,Laptops,HP,S0075,836.24,32.15,Active
P00013,SKU-00013,Loreal Smartphone 13,Electronics,Smartphones,Loreal,S0403,581.42,1496.6,Active
P00014,SKU-00014,Sony Accessorie 14,Electronics,Accessories,Sony,S0354,554.61,507.18,Active
P00015,SKU-00015,Sony Laptop 15,Electronics,Laptops,Sony,S0047,138.24,313.18,Active
P00016,SKU-00016,Dell Smartphone 16,Electronics,Smartphones,Dell,S0080,964.78,1428.49,Active
P00017,SKU-00017,Samsung Smartphone 17,Electronics,Smartphones,Samsung,S0219,1227.66,1493.7,Active
P00018,SKU-00018,Samsung Smartphone 18,Electronics,Smartphones,Samsung,S0377,1110.14,632.35,Active
P00019,SKU-00019,Nike Laptop 19,Electronics,Laptops,Nike,S0246,1612.19,1057.72,Active
P00020,SKU-00020,Samsung Accessorie 20,Electronics,Accessories,Samsung,S0444,785.54,1004.71,Active
P00021,SKU-00021,Samsung Laptop 21,Electronics,Laptops,Samsung,S0311,1709.21,163.22,Active
P00022,SKU-00022,Nike Smartphone 22,Electronics,Smartphones,Nike,S0267,522.64,1116.05,Active
