SupplierID,SupplierName,Country,Rating,ContractType
S0001,Carroll Inc,Equatorial Guinea,3.3,Standard
S0002,Simpson Group,Latvia,3.5,Premium
S0003,"Gray, Clark and Freeman",Uganda,4.5,Premium
S0004,Reynolds-Farmer,Afghanistan,4.3,Standard
S0005,"Griffin, Griffith and Perez",Western Sahara,3.2,Standard
S0006,Valenzuela Inc,Angola,4.8,Premium
S0007,Banks Inc,Wallis and Futuna,3.9,Standard
S0008,Parks-Costa,Saint Kitts and Nevis,4.4,Premium
S0009,Rose Group,Wallis and Futuna,4.4,Standard
S0010,Tran-Reed,Philippines,4.2,Standard
S0011,Hodges LLC,Vanuatu,4.8,Standard
S0012,Butler PLC,Uzbekistan,3.0,Strategic
S0013,"Garcia, Soto and Cummings",French Polynesia,4.1,Premium
S0014,Paul Ltd,Rwanda,4.4,Premium
S0015,"Mayer, Henderson and Greer",Paraguay,4.5,Strategic
S0016,Turner PLC,Turkmenistan,3.4,Premium
S0017,Mathis-Wagner,Namibia,4.9,Strategic
S0018,Castillo Ltd,South Georgia and the South Sandwich Islands,3.5,Standard
S0019,Perry-Thompson,Mexico,4.4,Premium
S0020,"Parsons, Rojas and Miller",Panama,4.9,Standard
S0021,"Rodriguez, Martin and Larsen",Heard Island and McDonald Islands,3.8,Strategic
S0022,Oconnor-Harrison,Gambia,4.8,Standard
S0023,"Charles, Mendez and Lane",Oman,3.4,Strategic
S0024,Jackson and Sons,American Samoa,4.7,Standard
S0025,Ryan PLC,Djibouti,4.5,Strategic
S0026,Palmer-Farley,Morocco,4.9,Strategic
S0027,Stevens-Adams,Mexico,4.9,Premium
S0028,"Krueger, Smith and Bowers",Swaziland,4.0,Strategic
S0029,"Hunt, Anderson and Waters",Costa Rica,3.4,Premium
S0030,Herring-Castillo,Haiti,4.2,Premium
S0031,"Spencer, Everett and Gutierrez",Suriname,4.7,Strategic
S0032,Perry-Smith,Mauritius,3.8,Standard
S0033,"Buchanan, Rivera and Greene",Spain,4.0,Strategic
S0034,Reid PLC,Myanmar,4.6,Premium
S0035,Callahan PLC,South Georgia and the South Sandwich Islands,4.3,Premium
S0036,Johnson-Acevedo,Barbados,4.1,Strategic
S0037,Parrish Group,American Samoa,4.6,Strategic
S0038,Wright-Rodriguez,Nigeria,3.7,Premium
S0039,Cooper Inc,Chad,4.3,Standard
S0040,Scott and Sons,Palestinian Territory,4.6,Strategic
S0041,Wong-Phillips,Reunion,4.7,Premium
S0042,Crawford-Wilson,Georgia,4.0,Standard
S0043,Cooper-Hogan,Eritrea,3.9,Premium
S0044,King Ltd,Malawi,4.4,Strategic
S0045,Sheppard Group,Svalbard & Jan Mayen Islands,4.2,Premium
S0046,Perez Group,Cameroon,4.3,Standard
S0047,Higgins and Sons,Kiribati,4.0,Standard
S0048,"Hunter, Simmons and Collier",Norfolk Island,4.5,Strategic
S0049,"Black, Walker and Wong",Indonesia,4.8,Strategic
S0050,"Johnston, Morris and Mccoy",Bahamas,3.5,Strategic
S0051,"Evans, Faulkner and Hutchinson",Gambia,3.7,Strategic
S0052,Garrison LLC,United States Virgin Islands,3.7,Premium
S0053,Manning-Butler,El Salvador,4.3,Strategic
S0054,Smith Inc,Nauru,4.9,Standard
S0055,Rivers PLC,Kuwait,3.8,Strategic
S0056,Carey Ltd,Nigeria,4.0,Standard
