OrderDetailID,OrderID,ProductID,Quantity,UnitPrice,Discount
1,O00000001,P01507,1,1941.88,0.0
2,O00000001,P06901,3,178.07,0.0
3,O00000002,P02056,3,1222.1,0.0
4,O00000002,P07209,3,525.01,0.0
5,O00000003,P02742,1,555.15,55.52
6,O00000004,P04166,2,488.5,0.0
7,O00000005,P02220,3,430.59,0.0
8,O00000005,P05650,2,1383.94,0.0
9,O00000005,P09609,3,1703.61,255.54
10,O00000005,P03329,3,1044.48,156.67
11,O00000006,P01886,2,1688.55,0.0
12,O00000006,P05956,1,111.29,0.0
13,O00000007,P04100,2,1071.74,0.0
14,O00000007,P07782,3,1034.61,155.19
15,O00000007,P07533,3,817.57,0.0
16,O00000008,P09255,2,498.25,49.83
17,O00000008,P00292,3,881.29,0.0
18,O00000008,P02613,3,1952.08,292.81
19,O00000008,P08792,1,1018.65,0.0
20,O00000009,P02720,1,1329.47,66.47
21,O00000010,P05720,1,1588.37,0.0
22,O00000010,P08444,3,1395.08,209.26
23,O00000010,P02017,3,324.56,97.37
24,O00000011,P09087,1,896.91,0.0
25,O00000011,P05480,1,1861.71,0.0
26,O00000011,P02480,3,422.34,0.0
27,O00000011,P00514,3,1155.28,346.58
28,O00000012,P01136,3,1614.12,0.0
29,O00000012,P03877,3,1156.67,0.0
30,O00000012,P07921,3,1472.31,220.85
31,O00000013,P08856,1,793.9,39.7
32,O00000013,P03346,3,1386.74,0.0
33,O00000013,P05622,3,1954.34,0.0
34,O00000013,P03278,3,1531.76,229.76
35,O00000014,P01258,3,1622.88,0.0
36,O00000014,P02280,3,345.4,51.81
37,O00000015,P03687,1,323.54,0.0
38,O00000015,P06170,3,930.52,0.0
39,O00000016,P08960,3,606.97,182.09
40,O00000016,P05268,3,1525.54,0.0
41,O00000017,P04650,3,1636.6,245.49
42,O00000017,P02216,2,885.31,88.53
43,O00000018,P09406,2,1347.44,0.0
44,O00000019,P07270,1,951.14,0.0
45,O00000020,P04301,2,708.37,141.67
46,O00000020,P07344,1,1002.79,0.0
47,O00000021,P03222,1,1871.67,0.0
48,O00000021,P04598,3,1688.56,506.57
49,O00000022,P07167,1,127.18,12.72
50,O00000023,P03353,1,1362.85,136.28
51,O00000023,P00657,1,634.75,63.48
52,O00000024,P08471,1,267.44,0.0
53,O00000025,P07797,2,237.73,0.0
54,O00000025,P06436,1,155.98,15.6
55,O00000026,P05670,3,1810.62,543.19
56,O00000026,P02670,1,1958.96,0.0
57,O00000026,P03248,2,1909.99,0.0
58,O00000026,P08504,1,432.63,0.0
59,O00000027,P01741,1,933.65,0.0
60,O00000027,P06805,1,1064.23,0.0
61,O00000028,P00807,3,10.51,0.0
62,O00000029,P02401,2,741.57,0.0
63,O00000029,P02889,3,631.14,94.67
64,O00000029,P01478,1,650.45,32.52
65,O00000030,P03707,1,955.18,0.0
66,O00000030,P01836,2,1544.94,0.0
67,O00000030,P00376,1,1932.79,0.0
68,O00000031,P06042,2,1990.4,199.04
69,O00000031,P02506,1,1311.06,131.11
70,O00000032,P09645,3,1996.28,0.0
71,O00000032,P08938,1,1173.61,58.68
72,O00000032,P05176,1,739.16,0.0
73,O00000033,P03546,1,1084.4,54.22
74,O00000033,P01956,3,1074.86,322.46
75,O00000033,P08716,2,1423.32,0.0
76,O00000034,P08617,1,1071.14,53.56
77,O00000034,P08155,1,1928.47,192.85
78,O00000034,P04136,3,1995.87,598.76
79,O00000035,P01433,2,857.33,0.0
80,O00000036,P03649,1,607.59,0.0
81,O00000036,P00837,3,486.58,0.0
82,O00000036,P08491,2,1194.8,238.96
83,O00000037,P05377,2,1690.7,0.0
84,O00000037,P07093,1,1181.48,59.07
85,O00000038,P05062,3,999.82,0.0
86,O00000038,P08035,2,506.2,0.0
87,O00000039,P08389,1,1248.24,0.0
88,O00000039,P08700,1,1879.23,0.0
89,O00000039,P09861,2,1949.06,194.91
90,O00000040,P07979,3,416.01,62.4
91,O00000040,P08758,1,1326.94,0.0
92,O00000040,P06719,2,180.94,0.0
93,O00000040,P01542,3,203.11,30.47
94,O00000041,P07269,2,140.52,0.0
95,O00000041,P08932,2,947.47,0.0
96,O00000041,P00216,2,863.75,0.0
97,O00000042,P02322,2,826.9,165.38
98,O00000042,P04504,1,670.38,33.52
99,O00000043,P07864,3,1401.22,210.18
100,O00000043,P09678,3,648.34,194.5
101,O00000043,P09408,2,1950.94,390.19
102,O00000044,P02672,3,25.73,0.0
103,O00000044,P02098,3,1723.1,258.46
104,O00000044,P02969,2,670.27,0.0
105,O00000044,P03088,2,109.35,10.94
106,O00000045,P01826,2,1385.05,277.01
107,O00000045,P09115,2,199.15,0.0
108,O00000045,P00361,3,93.15,27.95
109,O00000046,P05842,1,636.08,0.0
110,O00000046,P01607,3,1243.54,186.53
111,O00000046,P01371,1,1261.31,0.0
112,O00000047,P03733,2,606.06,121.21
113,O00000048,P07458,1,905.72,0.0
114,O00000048,P03920,3,1614.16,0.0
115,O00000048,P02861,1,1937.26,193.73
116,O00000048,P02754,1,1127.05,0.0
117,O00000049,P03240,2,1958.2,0.0
118,O00000050,P03834,2,1805.48,361.1
119,O00000050,P03723,3,1131.42,339.43
120,O00000050,P07169,1,340.11,34.01
121,O00000051,P04638,3,1071.11,0.0
122,O00000051,P05213,2,1045.25,209.05
123,O00000051,P03016,1,1872.8,93.64
124,O00000051,P00318,1,40.2,2.01
125,O00000052,P03083,1,970.09,97.01
126,O00000052,P01145,3,1627.66,0.0
127,O00000053,P07988,2,836.1,0.0
128,O00000053,P02393,1,1078.99,107.9
129,O00000053,P09080,2,549.51,0.0
130,O00000053,P06320,3,1470.92,441.28
131,O00000054,P04026,3,1060.9,0.0
132,O00000054,P02520,2,1604.22,0.0
133,O00000054,P07878,2,363.8,72.76
134,O00000054,P07661,2,961.24,0.0
135,O00000055,P04985,2,364.1,0.0
136,O00000055,P06861,3,1754.64,0.0
137,O00000056,P09444,1,1487.8,148.78
138,O00000056,P02861,1,1937.26,0.0
139,O00000056,P09650,2,1166.5,233.3
140,O00000056,P03659,2,1601.63,0.0
141,O00000057,P05933,2,274.67,0.0
142,O00000057,P09430,2,1114.54,0.0
143,O00000057,P09543,3,395.19,0.0
144,O00000057,P08384,2,304.41,0.0
145,O00000058,P00965,1,752.76,0.0
146,O00000058,P02997,3,526.58,0.0
147,O00000059,P06304,2,757.84,75.78
148,O00000059,P03314,2,562.66,0.0
149,O00000060,P04654,3,539.98,0.0
150,O00000061,P03875,1,636.45,31.82
151,O00000061,P01311,3,967.76,0.0
152,O00000062,P02988,1,277.21,13.86
153,O00000062,P09522,1,736.52,73.65
154,O00000062,P02046,2,814.41,0.0
155,O00000063,P04059,2,1530.6,0.0
156,O00000063,P02428,3,189.72,28.46
157,O00000064,P07746,1,64.49,0.0
158,O00000064,P07403,2,1537.64,307.53
159,O00000064,P04594,1,964.46,96.45
160,O00000065,P01476,2,1733.13,0.0
161,O00000065,P01907,2,506.2,50.62
162,O00000066,P06046,3,692.28,0.0
163,O00000067,P03410,3,12.39,3.72
164,O00000067,P00393,3,1086.1,325.83
165,O00000068,P09098,2,262.4,26.24
166,O00000068,P02354,2,1497.83,149.78
167,O00000069,P07452,2,66.24,0.0
168,O00000069,P03287,1,1621.68,0.0
169,O00000069,P09365,2,1196.93,0.0
170,O00000070,P01865,1,94.4,0.0
171,O00000070,P00781,2,1927.21,0.0
172,O00000070,P08673,2,1769.94,0.0
173,O00000071,P02140,1,1576.55,78.83
174,O00000072,P06133,3,500.69,75.1
175,O00000073,P01717,2,794.05,0.0
176,O00000073,P05054,1,410.23,41.02
177,O00000073,P02215,2,958.87,0.0
178,O00000074,P05929,1,830.65,0.0
179,O00000075,P01228,2,548.52,109.7
180,O00000075,P07182,2,1925.65,385.13
181,O00000075,P00068,2,1074.03,0.0
182,O00000075,P06537,3,366.76,0.0
183,O00000076,P06247,1,1756.72,0.0
184,O00000077,P06333,2,27.55,0.0
185,O00000077,P00451,1,1684.72,84.24
186,O00000077,P08394,3,1649.15,247.37
187,O00000077,P05990,3,408.5,122.55
188,O00000078,P01826,2,1385.05,0.0
189,O00000078,P00539,3,706.21,0.0
190,O00000079,P08069,1,1098.48,54.92
191,O00000080,P03993,3,383.2,114.96
192,O00000080,P03711,2,137.51,27.5
193,O00000080,P03949,2,242.54,0.0
194,O00000081,P02937,1,567.97,0.0
195,O00000081,P02472,1,980.28,0.0
196,O00000081,P07602,3,1166.51,174.98
197,O00000082,P00222,2,1008.66,0.0
198,O00000082,P03672,3,484.37,145.31
199,O00000082,P03681,3,1758.46,527.54
200,O00000082,P06348,1,786.77,78.68
201,O00000083,P00655,2,194.09,38.82
202,O00000083,P03189,2,530.98,106.2
203,O00000083,P03728,3,457.88,0.0
204,O00000084,P01558,3,1832.14,0.0
205,O00000084,P00808,3,485.92,145.78
206,O00000084,P04131,2,1940.47,0.0
207,O00000084,P02795,1,1460.64,73.03
208,O00000085,P00453,3,949.07,0.0
209,O00000085,P08399,2,1754.76,350.95
210,O00000085,P01639,3,791.85,237.56
211,O00000086,P06766,2,828.49,0.0
212,O00000086,P07457,3,1995.49,598.65
213,O00000087,P07510,3,1503.29,0.0
214,O00000088,P09776,2,1021.17,0.0
215,O00000088,P04034,2,666.79,0.0
216,O00000088,P05083,2,1497.28,0.0
217,O00000088,P09835,3,1995.95,0.0
218,O00000089,P06295,1,421.2,21.06
219,O00000089,P01662,3,115.16,17.27
220,O00000089,P03956,3,300.48,90.14
221,O00000090,P08962,3,1630.72,489.22
222,O00000090,P00191,2,1575.47,157.55
223,O00000090,P02121,1,1304.41,0.0
224,O00000091,P05564,3,511.86,153.56
225,O00000091,P08121,3,265.18,79.55
226,O00000091,P04377,2,164.82,0.0
227,O00000092,P00355,2,18.42,0.0
228,O00000093,P05463,1,1721.97,172.2
229,O00000093,P07728,2,161.61,16.16
230,O00000094,P00544,2,404.92,80.98
231,O00000094,P04068,3,803.83,0.0
232,O00000094,P08381,3,423.62,0.0
233,O00000094,P08942,1,1586.93,79.35
234,O00000095,P01048,2,1085.36,0.0
235,O00000096,P05803,2,1708.57,170.86
236,O00000097,P00938,1,389.98,0.0
237,O00000097,P06562,1,60.89,6.09
238,O00000098,P08119,2,1757.36,175.74
239,O00000098,P00710,2,369.97,37.0
240,O00000099,P00613,1,827.69,82.77
241,O00000099,P02812,2,1846.04,184.6
242,O00000100,P04148,2,1155.22,231.04
243,O00000100,P09691,1,549.07,0.0
244,O00000101,P05337,2,970.89,0.0
245,O00000101,P06507,3,416.28,0.0
246,O00000101,P01960,3,845.46,253.64
247,O00000101,P01824,2,278.93,0.0
248,O00000102,P05768,3,1369.84,0.0
249,O00000102,P08122,3,1786.62,0.0
250,O00000102,P09884,3,1643.46,0.0
251,O00000103,P01856,1,1830.41,91.52
252,O00000103,P05120,2,1469.78,293.96
253,O00000104,P05050,1,1604.31,80.22
254,O00000104,P08340,2,791.78,79.18
255,O00000104,P07199,3,587.32,88.1
256,O00000105,P06993,3,1897.21,569.16
257,O00000105,P01429,3,384.4,57.66
258,O00000106,P09163,2,1044.06,104.41
259,O00000106,P09731,3,929.29,278.79
260,O00000106,P01189,3,1721.07,258.16
261,O00000106,P00785,1,1253.68,0.0
262,O00000107,P04827,3,1863.0,0.0
263,O00000107,P05281,3,714.01,214.2
264,O00000108,P02467,1,11.6,0.58
265,O00000109,P07773,2,613.65,61.37
266,O00000109,P08561,3,275.59,82.68
267,O00000109,P02163,3,858.59,0.0
268,O00000109,P03137,2,1619.95,0.0
269,O00000110,P00666,1,1468.44,146.84
270,O00000110,P00872,2,1473.84,0.0
271,O00000110,P07532,2,196.62,0.0
272,O00000111,P01354,2,238.89,0.0
273,O00000111,P04269,1,1039.68,103.97
274,O00000111,P06817,1,1406.8,0.0
275,O00000111,P01507,3,1941.88,0.0
276,O00000112,P03989,1,934.41,0.0
277,O00000112,P04618,3,1313.22,0.0
278,O00000113,P08235,2,715.61,0.0
279,O00000114,P00843,1,356.41,0.0
280,O00000115,P01722,1,688.85,0.0
281,O00000115,P09918,3,254.34,76.3
282,O00000115,P01387,3,1531.62,0.0
283,O00000116,P07471,2,957.28,0.0
284,O00000117,P02527,3,326.44,0.0
285,O00000117,P01111,1,319.57,31.96
286,O00000117,P07889,2,1232.29,246.46
287,O00000117,P07482,3,1306.41,0.0
288,O00000118,P08328,1,899.4,0.0
289,O00000118,P04215,2,1692.11,169.21
290,O00000119,P05663,1,871.07,0.0
291,O00000119,P05353,3,425.27,0.0
292,O00000119,P05045,2,1121.87,224.37
293,O00000119,P04931,1,1469.78,146.98
294,O00000120,P07344,2,1002.79,100.28
295,O00000120,P00347,2,844.37,0.0
296,O00000120,P06083,3,806.5,241.95
297,O00000120,P06958,1,112.84,0.0
298,O00000121,P00908,1,1083.83,0.0
299,O00000121,P01231,3,979.36,146.9
300,O00000121,P09268,3,147.03,0.0
301,O00000122,P09060,2,1029.19,102.92
302,O00000123,P00055,1,1423.75,0.0
303,O00000123,P08157,2,1265.25,126.53
304,O00000123,P09926,1,588.49,29.42
305,O00000123,P04294,3,317.37,0.0
306,O00000124,P03411,3,479.8,71.97
307,O00000125,P05847,1,592.17,0.0
308,O00000125,P03152,1,1287.89,128.79
309,O00000125,P06266,1,154.29,0.0
310,O00000126,P04916,2,823.97,164.79
311,O00000126,P09943,2,441.67,0.0
312,O00000126,P01258,2,1622.88,162.29
313,O00000126,P01048,3,1085.36,162.8
314,O00000127,P03449,3,230.79,0.0
315,O00000128,P01819,2,263.77,26.38
316,O00000128,P01929,1,1765.21,0.0
317,O00000128,P04688,2,1687.82,337.56
318,O00000128,P04410,1,1068.22,53.41
319,O00000129,P08883,2,1337.2,0.0
320,O00000129,P02542,1,609.13,0.0
321,O00000130,P04684,1,448.34,0.0
322,O00000130,P06496,2,723.62,144.72
323,O00000130,P08987,1,1268.46,0.0
324,O00000131,P07481,1,114.75,11.48
325,O00000131,P01677,3,29.66,0.0
326,O00000131,P00898,2,141.89,0.0
327,O00000132,P06665,3,1237.18,371.15
328,O00000132,P05781,2,244.64,0.0
329,O00000132,P03218,2,828.72,0.0
330,O00000132,P05443,2,26.8,0.0
331,O00000133,P05156,1,159.63,0.0
332,O00000133,P09949,2,1945.81,389.16
333,O00000133,P08763,3,1526.17,0.0
334,O00000133,P02510,2,553.57,55.36
335,O00000134,P07393,3,1128.03,0.0
336,O00000135,P05429,1,931.23,46.56
337,O00000136,P00762,2,32.93,6.59
338,O00000136,P00625,3,1025.43,153.81
339,O00000136,P08504,3,432.63,64.89
340,O00000136,P02976,1,1479.24,147.92
341,O00000137,P05978,2,1880.61,0.0
342,O00000138,P06148,1,694.23,0.0
343,O00000138,P06923,3,508.19,152.46
344,O00000138,P09306,2,1989.61,0.0
345,O00000139,P08152,1,866.75,86.68
346,O00000139,P03720,1,1156.71,57.84
347,O00000140,P09279,3,1905.26,571.58
348,O00000140,P09716,2,1867.45,0.0
349,O00000141,P04725,3,502.94,0.0
350,O00000141,P08028,3,1881.24,282.19
351,O00000141,P04425,1,439.96,22.0
352,O00000142,P04129,1,695.94,0.0
353,O00000142,P05070,2,571.27,57.13
354,O00000142,P00772,3,1645.81,493.74
355,O00000143,P02959,1,1494.76,0.0
356,O00000143,P04058,3,1282.91,384.87
