OrderID,CustomerID,OrderDate,OrderStatus,PaymentMethod,ShippingMethod,Currency,OrderTotal,DiscountAmount,TaxAmount,ShippingCost
O00000001,C00020953,2023-08-17,Delivered,Apple Pay,Standard,USD,2476.09,0,495.22,14.99
O00000002,C00019350,2025-05-14,Delivered,Credit Card,Standard,USD,5241.33,0,1048.27,9.99
O00000003,C00023463,2025-05-09,Delivered,Debit Card,Express,USD,499.63,0,99.93,0.0
O00000004,C00011150,2024-07-23,Delivered,Apple Pay,Standard,USD,977.0,0,195.4,9.99
O00000005,C00011764,2024-12-05,Delivered,Credit Card,Pickup Point,USD,11891.71,0,2378.34,4.99
O00000006,C00018919,2024-01-29,Delivered,Credit Card,Pickup Point,USD,3488.39,0,697.68,9.99
O00000007,C00012456,2024-07-23,Delivered,Apple Pay,Standard,USD,7544.83,0,1508.97,9.99
O00000008,C00019961,2023-12-17,Delivered,PayPal,Standard,USD,10172.62,0,2034.52,14.99
O00000009,C00026929,2023-03-07,Shipped,Google Pay,Express,USD,1263.0,0,252.6,14.99
O00000010,C00006968,2025-10-19,Delivered,Google Pay,Standard,USD,6440.66,0,1288.13,0.0
O00000011,C00029420,2025-03-28,Delivered,PayPal,Pickup Point,USD,7144.9,0,1428.98,4.99
O00000012,C00019544,2023-05-11,Delivered,Debit Card,Express,USD,12508.45,0,2501.69,4.99
O00000013,C00025186,2024-11-27,Delivered,Google Pay,Standard,USD,15142.96,0,3028.59,0.0
O00000014,C00027580,2025-11-05,Delivered,PayPal,Express,USD,5853.03,0,1170.61,4.99
O00000015,C00016011,2023-02-09,Delivered,Apple Pay,Express,USD,3115.1,0,623.02,9.99
O00000016,C00002807,2025-09-22,Shipped,Debit Card,Standard,USD,6215.44,0,1243.09,9.99
O00000017,C00008686,2025-12-16,Shipped,Google Pay,Standard,USD,6346.4,0,1269.28,0.0
O00000018,C00014356,2025-11-25,Delivered,PayPal,Standard,USD,2694.88,0,538.98,9.99
O00000019,C00019278,2024-04-16,Delivered,Credit Card,Standard,USD,951.14,0,190.23,4.99
O00000020,C00029669,2023-03-06,Shipped,Credit Card,Pickup Point,USD,2277.86,0,455.57,14.99
O00000021,C00023703,2025-08-26,Delivered,Google Pay,Express,USD,6430.78,0,1286.16,4.99
O00000022,C00011610,2025-05-17,Delivered,Credit Card,Pickup Point,USD,114.46,0,22.89,14.99
O00000023,C00023863,2024-11-25,Shipped,Credit Card,Standard,USD,1797.84,0,359.57,0.0
O00000024,C00006013,2024-07-24,Delivered,Credit Card,Express,USD,267.44,0,53.49,9.99
O00000025,C00003057,2024-04-29,Delivered,Google Pay,Express,USD,615.84,0,123.17,14.99
O00000026,C00000071,2025-03-10,Delivered,Google Pay,Express,USD,11100.24,0,2220.05,9.99
O00000027,C00024510,2024-10-04,Delivered,Debit Card,Express,USD,1997.88,0,399.58,9.99
O00000028,C00019499,2023-05-20,Delivered,PayPal,Express,USD,31.53,0,6.31,14.99
O00000029,C00018971,2023-03-23,Delivered,Google Pay,Pickup Point,USD,3899.82,0,779.96,9.99
O00000030,C00012970,2023-09-26,Delivered,Apple Pay,Express,USD,5977.85,0,1195.57,0.0
O00000031,C00016577,2024-06-27,Delivered,Apple Pay,Standard,USD,4961.71,0,992.34,9.99
O00000032,C00027321,2024-09-11,Delivered,Debit Card,Standard,USD,7842.93,0,1568.59,9.99
O00000033,C00024328,2023-11-15,Delivered,Debit Card,Standard,USD,6778.94,0,1355.79,0.0
