OrderID,CampaignID,AttributionModel,ConversionDays,CampaignChannel
O00000001,M0578,Last Click,23,Affiliate
O00000002,M0431,First Click,4,Search
O00000004,M0753,Last Click,18,Email
O00000005,M0490,Last Click,2,Search
O00000006,M0647,Last Click,17,Search
O00000007,M0546,Time Decay,7,Email
O00000008,M0963,Linear,25,Affiliate
O00000011,M0518,Time Decay,10,Search
O00000012,M0038,First Click,30,Email
O00000014,M0289,Time Decay,3,Social
O00000015,M0217,Linear,19,Affiliate
O00000016,M0934,Last Click,23,Search
O00000017,M0345,Last Click,29,Social
O00000018,M0595,Linear,26,Search
O00000019,M0728,Linear,18,Search
O00000020,M0846,Last Click,1,Affiliate
O00000021,M0384,Linear,2,Search
O00000024,M0780,Time Decay,20,Social
O00000026,M0117,Linear,6,Social
O00000027,M0195,Last Click,19,Email
O00000028,M0242,First Click,5,Affiliate
O00000029,M0692,Linear,29,Social
O00000030,M0561,First Click,21,Search
O00000031,M0487,Last Click,7,Search
O00000034,M0438,Last Click,6,Search
O00000036,M0322,Linear,6,Social
O00000037,M0280,Time Decay,28,Email
O00000039,M0588,Linear,4,Email
O00000040,M0604,Linear,23,Affiliate
O00000041,M0386,Time Decay,11,Search
O00000042,M0167,First Click,16,Social
O00000043,M0755,Last Click,27,Social
O00000044,M0408,First Click,25,Email
O00000045,M0054,Last Click,12,Email
O00000046,M0922,Time Decay,16,Affiliate
O00000047,M0856,Last Click,21,Affiliate
O00000049,M0694,Linear,24,Email
O00000050,M0406,Last Click,9,Search
O00000051,M0018,Time Decay,0,Affiliate
O00000054,M0101,First Click,16,Search
O00000057,M0370,First Click,4,Affiliate
O00000058,M0050,First Click,17,Social
O00000062,M0708,Time Decay,0,Email
O00000063,M0487,Linear,28,Search
O00000066,M0031,First Click,28,Social
O00000067,M0523,Last Click,2,Email
O00000071,M0053,First Click,4,Email
O00000072,M0558,First Click,8,Search
O00000073,M0012,Time Decay,30,Social
O00000074,M0660,First Click,22,Social
O00000075,M0532,Linear,14,Search
O00000077,M0364,First Click,7,Social
O00000078,M0204,Last Click,18,Search
O00000079,M0137,First Click,0,Email
O00000080,M0746,Last Click,7,Affiliate
O00000081,M0488,Last Click,27,Affiliate
O00000082,M0265,First Click,8,Email
O00000083,M0216,First Click,17,Search
O00000084,M0525,Time Decay,7,Affiliate
O00000087,M0044,Last Click,21,Email
O00000088,M0184,Time Decay,13,Affiliate
O00000089,M0901,Last Click,21,Social
O00000090,M0960,Last Click,1,Affiliate
O00000091,M0049,Linear,25,Search
O00000093,M0832,First Click,17,Affiliate
O00000094,M0494,Time Decay,5,Email
O00000095,M0370,First Click,27,Affiliate
O00000097,M0009,Last Click,1,Social
O00000098,M0442,Last Click,2,Social
O00000101,M0005,Time Decay,15,Email
O00000102,M0748,Time Decay,28,Affiliate
O00000103,M0507,Time Decay,0,Social
O00000105,M0661,Time Decay,9,Affiliate
O00000106,M0406,Time Decay,4,Search
O00000107,M0813,First Click,30,Email
O00000108,M0292,Last Click,23,Email
O00000109,M0795,Last Click,18,Search
O00000110,M0487,First Click,1,Search
O00000112,M0878,First Click,2,Email
O00000113,M0400,First Click,12,Social
O00000114,M0437,First Click,18,Email
O00000115,M0083,Last Click,13,Search
O00000116,M0945,Linear,29,Affiliate
O00000117,M0744,Linear,7,Email
O00000118,M0867,First Click,21,Affiliate
O00000119,M0952,Time Decay,10,Search
O00000122,M0867,Last Click,2,Affiliate
O00000123,M0641,Linear,4,Search
O00000127,M0868,First Click,14,Email
O00000129,M0168,Last Click,21,Social
O00000131,M0751,Last Click,30,Search
O00000133,M0647,Last Click,23,Search
O00000134,M0680,Linear,9,Email
O00000135,M0723,Linear,6,Search
O00000136,M0913,Linear,16,Email
O00000137,M0515,Last Click,2,Affiliate
O00000138,M0731,Linear,1,Email
O00000139,M0956,First Click,20,Social
O00000141,M0816,Time Decay,17,Social
O00000142,M0543,Last Click,3,Social
O00000143,M0679,First Click,17,Social
O00000144,M0142,Linear,18,Search
O00000145,M0808,Time Decay,4,Social
O00000146,M0584,Linear,28,Social
O00000149,M0723,Linear,6,Search
O00000150,M0032,Last Click,11,Search
O00000153,M0381,First Click,29,Search
O00000159,M0915,Linear,25,Social
O00000164,M0942,Last Click,12,Affiliate
O00000167,M0896,Time Decay,11,Affiliate
O00000168,M0825,First Click,7,Search
O00000169,M0698,First Click,12,Social
O00000170,M0975,Last Click,30,Affiliate
O00000172,M0382,Time Decay,21,Social
O00000174,M0821,Last Click,3,Search
O00000176,M0591,Linear,1,Social
O00000177,M0610,Time Decay,11,Affiliate
O00000179,M0071,Last Click,12,Social
O00000181,M0976,Last Click,22,Social
O00000182,M0472,First Click,11,Social
O00000183,M0162,Linear,19,Social
